latitude,longitude,beds,week_price,neighbourhood_cleansed,zipcode
37.76099617,-122.4217991,1,7,Mission,94110
37.75913995,-122.4100002,1,7,Mission,94110
37.77005855,-122.4231424,1,7,Mission,94103
37.75917544,-122.4082493,1,7,Mission,94110
37.76764592,-122.4196852,1,7,Mission,94103
37.76622617,-122.4193958,1,7,Mission,94103
37.75604803,-122.4153785,1,7,Mission,94110
37.76221383,-122.4203222,1,7,Mission,94110
37.75006196,-122.407914,1,7,Mission,94110
37.76670376,-122.4182613,1,7,Mission,94103
37.75675319,-122.4246655,1,7,Mission,94110
37.76346479,-122.4250033,1,7,Mission,94110
37.75893796,-122.419015,1,7,Mission,94110
37.75808118,-122.4223412,7,49,Mission,94110
37.75432765,-122.4101774,2,14,Mission,
37.7565266,-122.409218,1,7,Mission,94110
37.75598698,-122.4221984,4,28,Mission,94110
37.76056915,-122.424051,1,7,Mission,94110
37.74993523,-122.4145209,2,14,Mission,94110
37.75546755,-122.4077818,3,21,Mission,94110
37.76588669,-122.4159867,1,7,Mission,94103
37.75971732,-122.4216425,5,35,Mission,94110
37.76392905,-122.4188655,2,14,Mission,94110
37.76034674,-122.4194064,1,7,Mission,94110
37.75765004,-122.4135393,1,7,Mission,94110
37.75446165,-122.4240245,1,7,Mission,94110
37.74996773,-122.4188683,1,7,Mission,94110
37.75993508,-122.4205575,1,7,Mission,94110
37.74970938,-122.4206154,1,7,Mission,94110
37.76753421,-122.4218769,1,7,Mission,
37.76926225,-122.4239934,6,42,Mission,94103
37.76200076,-122.4222852,1,7,Mission,94110
37.75145428,-122.4190148,1,7,Mission,94110
37.76438703,-122.4110645,1,7,Mission,94103
37.76082631,-122.4201035,2,14,Mission,94110
37.76229236,-122.4209399,1,7,Mission,94110
37.76255532,-122.4216806,1,7,Mission,94110
37.76895856,-122.4247186,1,7,Mission,94103
37.75338652,-122.4220808,1,7,Mission,94110
37.75109863,-122.421503,4,28,Mission,94110
37.76140315,-122.416887,1,7,Mission,94110
37.75696702,-122.420192,1,7,Mission,94110
37.76605143,-122.4206619,1,7,Mission,94103
37.76172137,-122.4230352,1,7,Mission,94110
37.75740037,-122.4208898,1,7,Mission,94110
37.75498966,-122.4073403,1,7,Mission,94110
37.76455296,-122.4079509,2,14,Mission,94110
37.75593645,-122.4097483,4,28,Mission,94110
37.75117506,-122.412172,1,7,Mission,94110
37.75818211,-122.4071974,5,35,Mission,94110
37.75584484,-122.4087695,2,14,Mission,94110
37.76789206,-122.4175331,4,28,Mission,94103
37.76015982,-122.4226466,2,14,Mission,94110
37.7651071,-122.4220663,2,14,Mission,94103
37.76201503,-122.4186318,1,7,Mission,94110
37.75673561,-122.4110877,1,7,Mission,94110
37.76191229,-122.4234471,3,21,Mission,94110
37.75413193,-122.4090766,1,7,Mission,94110
37.75395025,-122.4150456,1,7,Mission,94110
37.75183432,-122.4182426,1,7,Mission,94110
37.75931575,-122.4212085,3,21,Mission,94110
37.75002252,-122.414301,2,14,Mission,94110
37.74976068,-122.4101228,2,14,Mission,94110
37.76222156,-122.4164928,1,7,Mission,94110
37.75488841,-122.4102091,1,7,Mission,94110
37.75426968,-122.4249502,1,7,Mission,94110
37.75541585,-122.4181277,1,7,Mission,94110
37.75686656,-122.4162402,2,14,Mission,94110
37.75510678,-122.4151479,3,21,Mission,94110
37.7538535,-122.4122535,3,21,Mission,94110
37.74850779,-122.4196191,3,21,Mission,94110
37.75638877,-122.4151231,1,7,Mission,94110
37.76050137,-122.4231686,2,14,Mission,94110
37.76143174,-122.4206759,1,7,Mission,94110
37.76470293,-122.4221973,1,7,Mission,94110
37.75564467,-122.4114185,1,7,Mission,94110
37.76676462,-122.4192121,1,7,Mission,94103
37.77087775,-122.4234898,1,7,Mission,94103
37.75418875,-122.4158975,2,14,Mission,94110
37.76974154,-122.4238344,1,7,Mission,94103
37.75569547,-122.4144864,2,14,Mission,94110
37.76478009,-122.4068027,1,7,Mission,94103
37.75147569,-122.4091767,1,7,Mission,94110
37.75899436,-122.4075427,1,7,Mission,94110
37.75504556,-122.4252385,4,28,Mission,94110
37.76537968,-122.4145571,2,14,Mission,94103
37.76466538,-122.4247075,1,7,Mission,94110
37.7564906,-122.4144543,1,7,Mission,94110
37.75546545,-122.4089539,2,14,Mission,94110
37.75270431,-122.411517,2,14,Mission,94110
37.76276674,-122.4238285,2,14,Mission,94110
37.75932619,-122.4190707,1,7,Mission,94110
37.75221477,-122.4071722,1,7,Mission,94110
37.75805135,-122.4225549,3,21,Mission,94110
37.76157687,-122.422928,2,14,Mission,94110
37.75900265,-122.4213177,1,7,Mission,94110
37.75321807,-122.4138641,1,7,Mission,94110
37.75979938,-122.4203013,2,14,Mission,94110
37.75727525,-122.4084888,1,7,Mission,94110
37.75947969,-122.4193283,2,14,Mission,94110
37.75827812,-122.4094131,1,7,Mission,94110
37.76986546,-122.4255317,2,14,Mission,94103
37.76495306,-122.4228439,1,7,Mission,94103
37.76515227,-122.4058378,1,7,Mission,94110
37.75834501,-122.4117471,2,14,Mission,94110
37.76354058,-122.4251715,1,7,Mission,94110
37.7631106,-122.4205266,2,14,Mission,94110
37.76448974,-122.4245924,1,7,Mission,94110
37.75488403,-122.4076996,1,7,Mission,94110
37.76805409,-122.4215238,1,7,Mission,94103
37.76589579,-122.4233179,1,7,Mission,94110
37.76094677,-122.4087226,1,7,Mission,94110
37.76428759,-122.4127554,1,7,Mission,94110
37.75710636,-122.409627,1,7,Mission,94110
37.74912718,-122.4157362,1,7,Mission,94110
37.75335937,-122.4170714,3,21,Mission,94110
37.75742612,-122.4094099,5,35,Mission,94110
37.75541523,-122.4070269,1,7,Mission,94110
37.75808837,-122.4094916,1,7,Mission,94110
37.74913223,-122.4193964,1,7,Mission,94110
37.76529085,-122.4237807,1,7,Mission,94103
37.75817087,-122.4254617,2,14,Mission,94114
37.75381651,-122.4146223,1,7,Mission,94110
37.75175839,-122.4238845,2,14,Mission,94110
37.75838137,-122.4181447,3,21,Mission,94110
37.75417568,-122.4117034,1,7,Mission,94110
37.76103118,-122.4231313,1,7,Mission,94110
37.76670126,-122.4199205,1,7,Mission,94103
37.76867992,-122.4240742,1,7,Mission,94103
37.76080782,-122.4247257,2,14,Mission,94110
37.75729488,-122.4252516,1,7,Mission,94110
37.74946384,-122.4102973,1,7,Mission,94110
37.76613148,-122.420829,3,21,Mission,94103
37.75727662,-122.4209736,1,7,Mission,94110
37.75056813,-122.4104266,1,7,Mission,94110
37.76762598,-122.4232928,2,14,Mission,94103
37.7620613,-122.4220074,1,7,Mission,94110
37.75069844,-122.421571,1,7,Mission,94103
37.74996737,-122.4124087,1,7,Mission,94110
37.75291582,-122.4187473,1,7,Mission,94110
37.74964496,-122.4212794,1,7,Mission,94110
37.75008135,-122.4184093,1,7,Mission,94110
37.77099289,-122.4241152,1,7,Mission,94103
37.76796967,-122.4197506,2,14,Mission,94103
37.75992964,-122.4255916,1,7,Mission,94110
37.75203195,-122.4225433,2,14,Mission,94110
