beds,price,number_of_reviews
1,70.00,0
2,275.00,16
1,164.00,11
1,79.00,51
1,160.00,14
1,58.00,88
2,800.00,0
4,350.00,4
1,120.00,5
1,105.00,196
2,130.00,108
2,199.00,43
3,250.00,5
3,900.00,0
1,85.00,41
2,355.00,0
1,198.00,66
1,52.00,0
3,139.00,24
1,52.00,3
1,350.00,0
1,60.00,1
1,180.00,58
2,150.00,0
4,1076.00,1
1,110.00,4
1,165.00,15
1,125.00,8
1,208.00,1
5,700.00,0
2,220.00,1
1,89.00,2
3,150.00,2
4,1000.00,0
2,400.00,7
1,60.00,16
1,56.00,19
1,77.00,31
2,95.00,43
1,185.00,0
1,220.00,18
1,119.00,158
1,125.00,15
3,225.00,8
3,230.00,14
1,75.00,0
1,575.00,0
1,110.00,2
2,229.00,23
1,230.00,0
6,345.00,0
2,135.00,158
1,75.00,151
5,500.00,2
2,181.00,71
1,140.00,161
2,129.00,8
2,300.00,2
1,62.00,0
1,52.00,2
5,375.00,134
4,700.00,1
2,130.00,2
1,90.00,44
1,70.00,0
4,349.00,112
2,350.00,3
1,150.00,25
3,800.00,8
5,600.00,1
2,300.00,2
2,209.00,5
2,71.00,0
1,225.00,105
1,75.00,3
1,60.00,1
1,157.00,1
1,38.00,2
3,489.00,0
2,150.00,101
4,110.00,13
1,175.00,62
1,200.00,0
1,110.00,14
1,200.00,40
1,120.00,63
2,600.00,8
1,80.00,1
1,200.00,26
1,95.00,33
1,200.00,2
2,299.00,3
2,300.00,0
1,130.00,3
1,120.00,53
2,300.00,7
1,115.00,19
5,285.00,7
2,350.00,1
5,450.00,9
1,140.00,56
2,155.00,1
1,200.00,11
1,280.00,2
1,200.00,0
1,400.00,0
1,145.00,20
1,175.00,0
1,70.00,2
1,220.00,0
1,185.00,0
2,450.00,0
1,500.00,0
1,149.00,167
3,1800.00,5
2,200.00,1
2,381.00,3
2,1000.00,0
2,350.00,6
1,99.00,8
3,360.00,77
6,700.00,0
1,225.00,11
3,200.00,10
1,249.00,35
1,108.00,99
1,375.00,14
2,350.00,0
1,225.00,2
1,350.00,0
3,209.00,38
2,325.00,19
5,700.00,11
2,129.00,86
1,200.00,12
1,205.00,1
1,150.00,3
1,260.00,0
1,120.00,0
1,125.00,0
1,225.00,5
4,499.00,68
1,195.00,19
1,299.00,3
1,125.00,49
3,750.00,0
2,205.00,110
1,200.00,3
4,1599.00,1
1,199.00,4
1,120.00,6
2,195.00,3
1,75.00,0
1,100.00,2
3,850.00,4
2,570.00,10
2,450.00,10
1,100.00,1
1,144.00,30
1,250.00,0
2,240.00,0
1,238.00,4
2,319.00,22
1,120.00,10
1,122.00,7
1,99.00,59
1,165.00,1
1,1000.00,0
1,185.00,1
2,400.00,2
0,244.00,0
1,80.00,33
